Country,Age_Group,Gender,Daily_Screen_Time_Hours,Peak_Viewing_Hour,Content_Category,Device_Type,Subscription_Type,Platform,Weekly_Sessions,Average_Session_Duration_Minutes,Number_of_Platforms_Used,Internet_Connection,Content_Language_Preference,Binge_Watch_Frequency
South Africa,Children,Female,High,18,Comedy,Mobile,Free,YouTube,16,32,4,5G,German,Weekly
Australia,Children,Male,High,21,Action,Tablet,Premium,Netflix,17,60,2,4G LTE,Hindi,Monthly
New Zealand,Adults,Male,High,19,Action,Tablet,Premium,TikTok,14,37,3,Broadband,German,2-3 Times Per Week
Ecuador,Adults,Female,High,21,Comedy,Smart TV,Free,Netflix,15,60,2,4G LTE,French,Monthly
China,Adults,Male,Moderate,18,Romance,Smart TV,Premium,Instagram,16,35,4,Fiber,Korean,Monthly
Egypt,Adults,Male,High,19,Action,Smart TV,Free,YouTube,17,32,1,5G,Spanish,Monthly
Norway,Adults,Female,Moderate,21,Documentary,Smart TV,Free,Instagram,13,29,2,5G,Chinese,2-3 Times Per Week
Canada,Children,Male,High,23,Action,Mobile,Basic,YouTube,17,49,3,Broadband,English,2-3 Times Per Week
Egypt,Adults,Male,Moderate,20,Comedy,Smart TV,Basic,YouTube,8,47,2,Fiber,Hindi,Never
Tunisia,Young Adults,Female,High,21,Action,Smart TV,Standard,TikTok,21,29,2,Fiber,Portuguese,Weekly
Chile,Young Adults,Female,High,21,Horror,Tablet,Premium,TikTok,21,22,4,5G,Arabic,Multiple Times Per Week
Philippines,Adults,Male,High,23,Thriller,Desktop,Free,TikTok,18,23,3,Fiber,Korean,Never
Philippines,Children,Female,High,22,Sports,Mobile,Standard,YouTube,16,36,3,5G,Japanese,Never
United Arab Emirates,Adults,Female,Moderate,22,Drama,Tablet,Basic,Instagram,9,39,4,Broadband,Spanish,Never
Argentina,Adults,Female,High,22,Animation,Desktop,Standard,Disney+,8,54,4,Broadband,Korean,2-3 Times Per Week
Qatar,Young Adults,Female,High,23,Comedy,Desktop,Basic,Amazon Prime Video,23,53,4,Broadband,Portuguese,Monthly
Norway,Adults,Female,Moderate,18,Documentary,Tablet,Standard,TikTok,10,38,4,4G LTE,German,Weekly
Malaysia,Children,Male,High,20,Sci-Fi,Tablet,Basic,TikTok,16,19,4,5G,French,Never
Bangladesh,Adults,Male,High,21,Horror,Desktop,Standard,Netflix,17,52,1,Broadband,Japanese,2-3 Times Per Week
Ghana,Adults,Female,Moderate,22,Sports,Desktop,Premium,Netflix,13,63,1,Fiber,Portuguese,Weekly
Indonesia,Adults,Male,High,21,Sci-Fi,Tablet,Premium,TikTok,21,30,3,ADSL,Korean,Multiple Times Per Week
Sweden,Adults,Female,High,22,Thriller,Mobile,Basic,YouTube,19,29,3,5G,French,Monthly
Norway,Adults,Female,Moderate,18,Animation,Smart TV,Premium,Instagram,15,18,3,Fiber,Chinese,Monthly
India,Adults,Male,High,19,Thriller,Smart TV,Premium,Amazon Prime Video,18,63,2,Broadband,Hindi,Daily
New Zealand,Adults,Female,High,19,Romance,Tablet,Basic,YouTube,19,27,3,Fiber,Portuguese,Monthly
Canada,Adults,Female,Moderate,22,Drama,Tablet,Basic,TikTok,10,25,3,Fiber,Korean,2-3 Times Per Week
Israel,Adults,Female,High,20,Romance,Smart TV,Free,Instagram,18,31,4,5G,German,Multiple Times Per Week
Australia,Children,Female,High,21,Romance,Tablet,Free,Disney+,19,62,2,4G LTE,Portuguese,Multiple Times Per Week
France,Children,Female,High,18,Drama,Mobile,Premium,TikTok,18,38,4,5G,Arabic,2-3 Times Per Week
China,Adults,Male,Moderate,20,Horror,Mobile,Premium,TikTok,10,25,3,Fiber,Japanese,Multiple Times Per Week
Colombia,Adults,Female,High,22,Comedy,Smart TV,Free,Netflix,15,59,3,5G,English,Never
Ecuador,Adults,Female,Moderate,21,Action,Smart TV,Basic,TikTok,9,19,3,5G,Chinese,Weekly
Turkey,Adults,Female,High,18,Animation,Mobile,Premium,TikTok,19,41,2,Broadband,Portuguese,2-3 Times Per Week
Indonesia,Adults,Female,High,22,Action,Tablet,Premium,Netflix,17,49,3,4G LTE,English,Monthly
Peru,Young Adults,Male,High,20,Thriller,Smart TV,Standard,Instagram,24,28,3,Fiber,Portuguese,Multiple Times Per Week
Chile,Children,Male,High,19,Drama,Desktop,Standard,Instagram,17,27,3,Fiber,Hindi,Monthly
Egypt,Adults,Female,Moderate,20,Drama,Desktop,Standard,Netflix,8,47,2,4G LTE,Arabic,2-3 Times Per Week
Vietnam,Adults,Male,Moderate,18,Sci-Fi,Smart TV,Basic,YouTube,12,25,3,4G LTE,Chinese,Monthly
Bangladesh,Adults,Male,High,23,Drama,Tablet,Free,Disney+,18,56,2,ADSL,Spanish,Multiple Times Per Week
South Korea,Adults,Male,Moderate,21,Drama,Mobile,Premium,Amazon Prime Video,9,63,3,ADSL,Japanese,Multiple Times Per Week
United Arab Emirates,Children,Female,High,18,Drama,Desktop,Basic,Netflix,16,63,4,ADSL,Japanese,Multiple Times Per Week
Italy,Adults,Female,Moderate,21,Thriller,Desktop,Free,Netflix,10,46,3,5G,Korean,2-3 Times Per Week
Argentina,Adults,Male,High,20,Horror,Tablet,Premium,Disney+,12,41,3,ADSL,Korean,Weekly
Japan,Young Adults,Female,Moderate,19,Action,Desktop,Free,Amazon Prime Video,24,51,3,5G,English,2-3 Times Per Week
United Kingdom,Young Adults,Female,High,21,Action,Mobile,Free,Amazon Prime Video,24,56,4,Fiber,German,Daily
Spain,Children,Male,High,23,Romance,Desktop,Basic,Amazon Prime Video,16,59,5,4G LTE,German,Multiple Times Per Week
Indonesia,Young Adults,Male,High,18,Romance,Desktop,Basic,Netflix,24,56,3,ADSL,Portuguese,Daily
Vietnam,Children,Female,High,22,Thriller,Mobile,Free,TikTok,16,26,3,Broadband,Japanese,Never
Nigeria,Adults,Female,Moderate,22,Animation,Mobile,Premium,YouTube,16,47,1,ADSL,Spanish,Never
Ethiopia,Adults,Female,High,22,Comedy,Smart TV,Premium,Instagram,18,21,2,Fiber,Portuguese,Multiple Times Per Week
Sweden,Adults,Female,High,21,Sports,Tablet,Free,Netflix,16,56,4,Broadband,Portuguese,2-3 Times Per Week
Mexico,Young Adults,Male,High,19,Sci-Fi,Smart TV,Premium,Amazon Prime Video,21,59,3,ADSL,German,Never
United States,Adults,Male,High,19,Sports,Mobile,Premium,YouTube,20,35,4,ADSL,Japanese,Multiple Times Per Week
Vietnam,Adults,Female,High,19,Romance,Desktop,Free,Disney+,14,45,2,Broadband,Arabic,Daily
South Africa,Adults,Female,High,21,Romance,Smart TV,Premium,YouTube,20,28,4,ADSL,Chinese,Multiple Times Per Week
Chile,Adults,Female,High,22,Sports,Mobile,Free,TikTok,14,25,3,4G LTE,English,Daily
Sweden,Young Adults,Female,High,19,Documentary,Tablet,Basic,Amazon Prime Video,22,65,3,ADSL,English,Daily
Egypt,Adults,Male,High,23,Animation,Desktop,Standard,Disney+,21,40,2,Broadband,Spanish,Never
Italy,Adults,Female,High,22,Animation,Smart TV,Premium,TikTok,18,36,4,Broadband,French,2-3 Times Per Week
Ghana,Adults,Male,Moderate,23,Sci-Fi,Tablet,Standard,Amazon Prime Video,10,60,2,Broadband,Japanese,2-3 Times Per Week
United Kingdom,Adults,Female,High,20,Action,Smart TV,Standard,TikTok,21,40,2,Fiber,Chinese,Monthly
Ethiopia,Adults,Male,High,20,Action,Smart TV,Basic,TikTok,19,37,1,Fiber,Hindi,Multiple Times Per Week
Italy,Young Adults,Male,High,19,Horror,Mobile,Basic,Instagram,24,27,4,ADSL,Japanese,Monthly
Pakistan,Adults,Female,High,19,Drama,Smart TV,Free,YouTube,16,25,2,Fiber,Korean,Multiple Times Per Week
Italy,Children,Male,High,23,Animation,Smart TV,Standard,Netflix,19,48,3,ADSL,French,2-3 Times Per Week
Colombia,Adults,Male,High,18,Documentary,Tablet,Basic,TikTok,20,20,2,4G LTE,Spanish,Daily
Malaysia,Adults,Male,High,22,Horror,Tablet,Standard,Instagram,16,32,4,ADSL,Arabic,Never
Norway,Adults,Female,Moderate,21,Drama,Desktop,Premium,YouTube,14,45,2,5G,Japanese,Daily
Turkey,Children,Male,High,23,Thriller,Desktop,Standard,Netflix,17,57,4,4G LTE,Portuguese,Monthly
Canada,Adults,Female,Moderate,19,Thriller,Mobile,Free,YouTube,11,49,3,4G LTE,Hindi,Weekly
Italy,Young Adults,Male,High,20,Thriller,Desktop,Free,Netflix,20,59,3,ADSL,English,Daily
Indonesia,Children,Female,High,22,Sports,Desktop,Free,YouTube,20,43,2,4G LTE,Arabic,Daily
Egypt,Young Adults,Male,High,23,Comedy,Smart TV,Free,Disney+,23,40,2,4G LTE,Japanese,Monthly
Egypt,Children,Female,High,21,Drama,Mobile,Basic,YouTube,19,41,1,Fiber,Arabic,Never
Indonesia,Adults,Female,High,23,Action,Mobile,Standard,YouTube,20,36,2,4G LTE,Portuguese,Multiple Times Per Week
Saudi Arabia,Children,Female,High,18,Sci-Fi,Smart TV,Basic,YouTube,19,27,2,ADSL,English,Never
United Arab Emirates,Adults,Male,High,19,Comedy,Tablet,Free,Disney+,19,55,4,ADSL,French,Multiple Times Per Week
South Korea,Adults,Male,Moderate,21,Comedy,Tablet,Free,Instagram,13,30,2,Broadband,Arabic,Daily
Mexico,Children,Female,High,22,Sports,Mobile,Premium,Instagram,16,23,2,Fiber,Arabic,Daily
Philippines,Young Adults,Male,High,23,Drama,Desktop,Free,Amazon Prime Video,21,64,4,Fiber,Chinese,2-3 Times Per Week
Spain,Young Adults,Female,High,22,Drama,Desktop,Standard,TikTok,23,32,2,Fiber,French,Multiple Times Per Week
Germany,Adults,Male,Moderate,23,Sports,Desktop,Standard,Amazon Prime Video,21,56,4,4G LTE,Korean,Multiple Times Per Week
Ghana,Adults,Female,High,21,Sci-Fi,Mobile,Premium,Netflix,18,64,2,5G,English,Daily
United Arab Emirates,Adults,Female,High,19,Animation,Mobile,Standard,TikTok,16,42,4,Fiber,Portuguese,Weekly
Israel,Adults,Male,High,19,Romance,Mobile,Standard,YouTube,16,39,4,5G,Chinese,2-3 Times Per Week
Argentina,Children,Female,High,22,Thriller,Tablet,Free,Disney+,16,56,3,Broadband,French,Multiple Times Per Week
Peru,Adults,Female,High,21,Animation,Mobile,Basic,Disney+,9,58,1,ADSL,French,Never
United Kingdom,Adults,Male,High,19,Action,Smart TV,Free,Instagram,19,34,4,4G LTE,Portuguese,Multiple Times Per Week
Ghana,Young Adults,Male,High,18,Documentary,Smart TV,Premium,Instagram,20,15,2,Broadband,Chinese,2-3 Times Per Week
Mexico,Young Adults,Female,High,23,Animation,Mobile,Basic,YouTube,20,28,4,Broadband,Portuguese,Weekly
United Kingdom,Children,Male,High,21,Thriller,Desktop,Free,Netflix,17,65,3,5G,English,Weekly
New Zealand,Children,Female,High,18,Animation,Tablet,Basic,Amazon Prime Video,18,65,4,4G LTE,Japanese,Daily
Qatar,Adults,Female,High,18,Sports,Mobile,Standard,Amazon Prime Video,17,45,5,Fiber,French,Multiple Times Per Week
Colombia,Children,Male,High,19,Thriller,Tablet,Free,TikTok,16,24,3,Broadband,Portuguese,Multiple Times Per Week
Japan,Adults,Female,Moderate,19,Comedy,Mobile,Basic,Instagram,19,27,3,ADSL,Arabic,Never
Ethiopia,Adults,Female,Moderate,22,Documentary,Smart TV,Free,Netflix,10,57,2,5G,Japanese,Weekly
Japan,Adults,Female,Moderate,19,Horror,Mobile,Free,Instagram,14,19,4,5G,Spanish,Monthly
Japan,Children,Male,Moderate,22,Comedy,Desktop,Standard,Amazon Prime Video,19,49,2,Fiber,Hindi,Monthly
Qatar,Adults,Male,Moderate,19,Animation,Mobile,Premium,YouTube,12,26,3,ADSL,Chinese,Never
United Arab Emirates,Adults,Male,Moderate,22,Documentary,Mobile,Basic,Instagram,8,38,3,Fiber,Korean,2-3 Times Per Week
Spain,Adults,Male,High,23,Sports,Smart TV,Free,Instagram,19,33,5,4G LTE,Arabic,Daily
Colombia,Adults,Male,High,23,Thriller,Smart TV,Standard,Instagram,19,27,3,5G,German,Multiple Times Per Week
Indonesia,Adults,Female,High,18,Animation,Tablet,Standard,Disney+,12,44,3,5G,English,2-3 Times Per Week
China,Young Adults,Female,High,20,Thriller,Smart TV,Free,Amazon Prime Video,24,56,4,Broadband,Japanese,Daily
United Arab Emirates,Children,Female,High,20,Romance,Desktop,Basic,YouTube,19,48,2,4G LTE,German,Weekly
Mexico,Adults,Female,High,18,Comedy,Mobile,Premium,Disney+,12,54,3,Fiber,French,2-3 Times Per Week
Pakistan,Adults,Female,Moderate,19,Sports,Desktop,Free,Amazon Prime Video,8,56,2,ADSL,Korean,Never
Pakistan,Adults,Female,High,20,Animation,Tablet,Premium,Disney+,22,49,3,Fiber,English,2-3 Times Per Week
Australia,Young Adults,Male,High,22,Comedy,Desktop,Free,YouTube,21,25,4,5G,Korean,Never
India,Adults,Male,High,21,Horror,Desktop,Free,YouTube,10,34,2,Broadband,Hindi,Daily
United Kingdom,Adults,Female,High,22,Romance,Mobile,Basic,Disney+,22,64,4,Fiber,Japanese,Monthly
Philippines,Young Adults,Male,High,23,Action,Smart TV,Free,Amazon Prime Video,21,43,3,4G LTE,Arabic,Daily
Sweden,Children,Female,High,18,Romance,Desktop,Premium,Disney+,18,49,4,4G LTE,Portuguese,2-3 Times Per Week
Indonesia,Young Adults,Male,High,21,Thriller,Mobile,Premium,Instagram,24,35,3,4G LTE,English,Daily
Belgium,Adults,Male,Moderate,18,Action,Smart TV,Premium,Netflix,11,65,5,5G,Japanese,Multiple Times Per Week
Germany,Adults,Male,Moderate,20,Action,Tablet,Basic,Disney+,17,57,5,Broadband,German,Weekly
Australia,Adults,Female,High,20,Sci-Fi,Smart TV,Premium,Amazon Prime Video,20,62,4,Broadband,German,2-3 Times Per Week
South Korea,Children,Male,Moderate,23,Animation,Desktop,Premium,YouTube,16,29,3,5G,Portuguese,Never
Qatar,Children,Male,High,18,Romance,Mobile,Free,TikTok,19,23,2,4G LTE,Chinese,2-3 Times Per Week
Japan,Young Adults,Male,Moderate,19,Thriller,Smart TV,Free,YouTube,23,31,3,Broadband,Chinese,Never
South Africa,Children,Male,High,23,Sci-Fi,Smart TV,Premium,TikTok,19,20,3,Fiber,Hindi,Monthly
Mexico,Adults,Male,High,20,Sci-Fi,Desktop,Premium,YouTube,8,30,3,4G LTE,French,Never
South Africa,Adults,Female,High,22,Drama,Smart TV,Standard,Disney+,22,51,3,Fiber,Hindi,Never
Australia,Adults,Female,Moderate,19,Romance,Desktop,Free,Amazon Prime Video,10,51,3,4G LTE,English,Monthly
Turkey,Children,Female,High,22,Horror,Tablet,Free,YouTube,16,46,3,ADSL,Korean,2-3 Times Per Week
France,Children,Female,High,21,Comedy,Desktop,Premium,Instagram,18,20,5,Fiber,Hindi,2-3 Times Per Week
Netherlands,Adults,Female,Moderate,22,Sci-Fi,Tablet,Standard,Disney+,12,54,4,Broadband,Portuguese,Weekly
Ghana,Young Adults,Female,High,19,Romance,Smart TV,Free,Netflix,21,49,2,ADSL,French,Never
United Kingdom,Young Adults,Female,High,19,Sci-Fi,Tablet,Free,Instagram,23,27,4,5G,English,2-3 Times Per Week
Brazil,Children,Female,High,18,Documentary,Desktop,Premium,Amazon Prime Video,17,56,3,Fiber,Arabic,Daily
Argentina,Children,Female,High,20,Thriller,Mobile,Basic,Disney+,16,64,2,5G,Arabic,Monthly
Argentina,Adults,Female,High,18,Comedy,Tablet,Standard,TikTok,13,29,2,4G LTE,English,Multiple Times Per Week
Norway,Adults,Female,Moderate,22,Documentary,Desktop,Basic,TikTok,10,32,3,Broadband,Spanish,Weekly
Brazil,Young Adults,Male,High,23,Action,Desktop,Standard,TikTok,20,35,2,4G LTE,Chinese,Weekly
Vietnam,Children,Male,High,21,Drama,Desktop,Free,Amazon Prime Video,20,56,4,Broadband,Japanese,Never
New Zealand,Adults,Female,High,22,Documentary,Smart TV,Standard,Netflix,17,55,4,Fiber,Chinese,Multiple Times Per Week
China,Young Adults,Female,High,18,Animation,Tablet,Basic,Instagram,22,23,3,5G,Japanese,2-3 Times Per Week
Ethiopia,Young Adults,Female,High,22,Action,Desktop,Basic,TikTok,23,37,1,5G,Spanish,Daily
Saudi Arabia,Adults,Male,High,22,Horror,Tablet,Free,YouTube,16,46,3,ADSL,Arabic,2-3 Times Per Week
United Kingdom,Adults,Male,Moderate,22,Animation,Tablet,Premium,Disney+,11,41,2,ADSL,French,Weekly
Japan,Young Adults,Female,Moderate,19,Horror,Desktop,Basic,Amazon Prime Video,24,48,3,Fiber,Korean,Never
France,Adults,Female,Moderate,19,Sci-Fi,Tablet,Basic,Disney+,9,49,4,Broadband,French,Multiple Times Per Week
South Korea,Adults,Male,Moderate,20,Romance,Desktop,Free,TikTok,14,26,4,4G LTE,English,Daily
Israel,Adults,Male,Moderate,22,Documentary,Tablet,Premium,Instagram,11,23,3,5G,German,Weekly
Egypt,Children,Male,High,22,Thriller,Tablet,Premium,Instagram,17,39,3,Fiber,Hindi,Multiple Times Per Week
Argentina,Young Adults,Male,High,21,Animation,Mobile,Premium,Instagram,21,18,3,5G,English,2-3 Times Per Week
Philippines,Young Adults,Female,High,23,Romance,Tablet,Free,TikTok,23,21,4,5G,Arabic,Monthly
United Kingdom,Young Adults,Female,High,20,Drama,Mobile,Standard,YouTube,24,37,5,ADSL,Chinese,Weekly
Malaysia,Children,Female,High,19,Action,Tablet,Premium,Disney+,20,46,3,Fiber,German,Never
Turkey,Children,Female,High,18,Thriller,Smart TV,Premium,Amazon Prime Video,16,55,3,5G,Hindi,Multiple Times Per Week
United Kingdom,Children,Male,High,19,Thriller,Tablet,Standard,Instagram,17,36,2,ADSL,Portuguese,Monthly
China,Adults,Female,Moderate,22,Sci-Fi,Desktop,Standard,Amazon Prime Video,10,46,4,5G,Arabic,Weekly
India,Adults,Female,High,21,Comedy,Tablet,Premium,Instagram,22,34,2,Fiber,English,Monthly
Indonesia,Adults,Female,High,23,Sports,Desktop,Standard,Amazon Prime Video,12,46,4,4G LTE,Portuguese,Weekly
Malaysia,Young Adults,Female,High,18,Romance,Tablet,Premium,Disney+,24,58,2,Broadband,English,2-3 Times Per Week
Spain,Young Adults,Female,High,18,Romance,Desktop,Free,YouTube,20,40,4,4G LTE,Spanish,Multiple Times Per Week
Vietnam,Adults,Male,High,21,Romance,Desktop,Basic,Instagram,19,23,3,Fiber,Hindi,Multiple Times Per Week
Brazil,Adults,Female,High,23,Thriller,Smart TV,Standard,Netflix,22,53,4,5G,Arabic,Weekly
United Arab Emirates,Adults,Female,Moderate,18,Action,Tablet,Standard,Instagram,10,26,4,ADSL,Japanese,Never
Netherlands,Children,Male,High,22,Animation,Smart TV,Premium,Disney+,17,50,4,Fiber,Spanish,Multiple Times Per Week
Japan,Adults,Male,Moderate,20,Animation,Mobile,Standard,TikTok,18,30,2,4G LTE,English,Multiple Times Per Week
Ethiopia,Adults,Female,High,19,Action,Mobile,Standard,YouTube,21,38,3,4G LTE,Spanish,Multiple Times Per Week
South Korea,Young Adults,Female,High,18,Animation,Smart TV,Standard,Disney+,21,53,5,ADSL,Korean,Monthly
Peru,Adults,Female,High,21,Action,Desktop,Premium,Instagram,22,26,3,5G,Portuguese,Weekly
China,Adults,Female,Moderate,20,Action,Tablet,Premium,Amazon Prime Video,22,59,3,Fiber,Arabic,Multiple Times Per Week
Bangladesh,Young Adults,Male,High,21,Sports,Mobile,Basic,YouTube,24,32,1,4G LTE,Hindi,Daily
Netherlands,Adults,Male,High,20,Romance,Desktop,Free,TikTok,17,34,5,4G LTE,Japanese,Monthly
Tunisia,Adults,Female,High,19,Thriller,Smart TV,Basic,Disney+,13,59,1,4G LTE,Hindi,Never
Canada,Adults,Female,Moderate,20,Comedy,Desktop,Standard,Amazon Prime Video,9,53,3,Broadband,Korean,Monthly
Turkey,Young Adults,Female,High,20,Drama,Mobile,Standard,Disney+,20,61,3,4G LTE,Spanish,Never
Belgium,Young Adults,Male,High,21,Animation,Mobile,Standard,Netflix,22,48,3,ADSL,Spanish,Weekly
Nigeria,Adults,Female,Moderate,20,Thriller,Mobile,Premium,TikTok,11,30,2,5G,Arabic,Multiple Times Per Week
Turkey,Adults,Female,High,20,Horror,Tablet,Premium,Amazon Prime Video,19,43,2,5G,German,Never
Mexico,Adults,Female,High,18,Sci-Fi,Tablet,Standard,YouTube,18,43,2,Broadband,Korean,Daily
United States,Adults,Female,High,21,Romance,Tablet,Basic,Netflix,20,53,4,Broadband,French,Weekly
United States,Young Adults,Male,High,22,Thriller,Tablet,Free,Disney+,23,46,2,ADSL,Hindi,Daily
Saudi Arabia,Adults,Female,High,23,Documentary,Desktop,Free,Netflix,18,56,4,4G LTE,English,Multiple Times Per Week
Argentina,Children,Female,High,20,Thriller,Mobile,Basic,Amazon Prime Video,19,63,2,ADSL,English,Monthly
South Korea,Adults,Female,Moderate,19,Sports,Mobile,Basic,Instagram,15,18,3,4G LTE,Spanish,2-3 Times Per Week
Philippines,Children,Male,High,23,Documentary,Mobile,Standard,Amazon Prime Video,19,45,3,ADSL,Spanish,Multiple Times Per Week
Ethiopia,Adults,Male,Moderate,20,Sports,Mobile,Standard,Disney+,15,61,3,4G LTE,Japanese,Never
Brazil,Young Adults,Male,High,20,Sports,Desktop,Free,Disney+,23,55,4,4G LTE,Chinese,Monthly
Canada,Young Adults,Female,High,20,Horror,Mobile,Basic,Disney+,23,62,5,Broadband,English,Monthly
Ghana,Children,Male,High,21,Thriller,Smart TV,Premium,Amazon Prime Video,16,42,1,ADSL,Spanish,Daily
Philippines,Children,Male,High,23,Action,Tablet,Standard,TikTok,18,39,3,4G LTE,Portuguese,Never
China,Children,Male,High,19,Animation,Tablet,Basic,Netflix,16,58,3,5G,Arabic,Never
Chile,Young Adults,Male,High,22,Horror,Mobile,Free,Disney+,21,63,4,ADSL,Portuguese,2-3 Times Per Week
Belgium,Adults,Female,High,21,Sports,Mobile,Premium,YouTube,19,45,3,ADSL,Arabic,Never
Qatar,Adults,Male,High,21,Comedy,Smart TV,Free,Amazon Prime Video,19,48,5,ADSL,Spanish,Daily
Israel,Adults,Male,High,23,Documentary,Desktop,Basic,YouTube,14,33,2,ADSL,Hindi,Weekly
Germany,Adults,Female,Moderate,19,Sci-Fi,Mobile,Standard,Netflix,12,61,2,4G LTE,Chinese,Daily
Indonesia,Adults,Female,High,19,Sports,Desktop,Standard,Disney+,12,50,3,Broadband,Arabic,Multiple Times Per Week
Turkey,Young Adults,Male,High,20,Action,Desktop,Free,YouTube,22,39,4,4G LTE,Portuguese,Weekly
United Kingdom,Adults,Female,Moderate,18,Drama,Desktop,Premium,Disney+,16,61,3,ADSL,Japanese,Daily
Ghana,Children,Female,High,20,Thriller,Desktop,Premium,Instagram,18,27,2,ADSL,German,Never
Japan,Adults,Male,Moderate,19,Comedy,Mobile,Premium,Amazon Prime Video,21,66,3,5G,Korean,Never
Australia,Young Adults,Female,High,22,Thriller,Smart TV,Standard,TikTok,20,42,3,ADSL,Portuguese,Weekly
Qatar,Adults,Female,Moderate,19,Documentary,Smart TV,Free,YouTube,12,28,4,ADSL,German,2-3 Times Per Week
India,Adults,Female,High,21,Action,Mobile,Basic,YouTube,16,41,2,4G LTE,Chinese,Never
United States,Young Adults,Male,High,19,Sci-Fi,Smart TV,Standard,YouTube,20,30,3,Fiber,Arabic,Daily
Japan,Adults,Male,Moderate,19,Drama,Tablet,Standard,YouTube,13,44,3,ADSL,German,Weekly
Qatar,Adults,Female,High,19,Horror,Tablet,Premium,YouTube,21,47,4,Broadband,German,Never
Egypt,Adults,Male,High,21,Thriller,Desktop,Premium,Instagram,14,20,1,Fiber,Arabic,Weekly
Peru,Adults,Male,High,21,Action,Tablet,Standard,Instagram,14,37,2,4G LTE,Korean,Weekly
Saudi Arabia,Adults,Male,Moderate,21,Drama,Tablet,Basic,Netflix,8,48,3,5G,German,Multiple Times Per Week
Canada,Adults,Female,High,23,Animation,Tablet,Free,Instagram,21,25,4,5G,Chinese,Monthly
Bangladesh,Young Adults,Male,High,22,Drama,Mobile,Standard,Amazon Prime Video,24,46,2,ADSL,Arabic,Monthly
Ecuador,Adults,Female,High,22,Animation,Smart TV,Free,YouTube,13,25,3,4G LTE,Portuguese,Monthly
Australia,Adults,Male,High,19,Comedy,Smart TV,Basic,Amazon Prime Video,14,48,4,4G LTE,Hindi,Multiple Times Per Week
Bangladesh,Adults,Female,High,21,Romance,Desktop,Free,Instagram,17,37,2,4G LTE,German,Daily
Netherlands,Adults,Male,High,20,Documentary,Smart TV,Premium,YouTube,15,34,3,Broadband,Hindi,Never
Indonesia,Adults,Female,High,19,Sci-Fi,Tablet,Free,Amazon Prime Video,12,46,2,5G,Hindi,2-3 Times Per Week
Bangladesh,Children,Male,High,18,Animation,Smart TV,Premium,Amazon Prime Video,20,61,2,4G LTE,Arabic,Daily
Ecuador,Young Adults,Female,High,18,Comedy,Tablet,Standard,YouTube,24,31,1,ADSL,Arabic,Never
Ghana,Adults,Female,Moderate,18,Sports,Desktop,Standard,Netflix,9,67,1,Broadband,French,Multiple Times Per Week
United States,Adults,Male,Moderate,21,Sci-Fi,Tablet,Free,Netflix,10,65,5,Broadband,Korean,Multiple Times Per Week
Germany,Adults,Male,Moderate,20,Thriller,Tablet,Basic,Instagram,10,37,4,ADSL,Spanish,Monthly
China,Children,Male,High,21,Drama,Tablet,Basic,Netflix,18,65,3,Fiber,Spanish,Multiple Times Per Week
Chile,Adults,Male,High,18,Sports,Smart TV,Basic,YouTube,17,46,3,Broadband,Arabic,Daily
Saudi Arabia,Young Adults,Female,High,23,Romance,Desktop,Premium,Netflix,21,56,4,4G LTE,Portuguese,2-3 Times Per Week
Philippines,Adults,Female,High,19,Drama,Mobile,Free,Disney+,18,61,4,4G LTE,French,Never
Japan,Children,Male,Moderate,20,Action,Smart TV,Premium,Netflix,17,68,3,5G,Korean,2-3 Times Per Week
Canada,Children,Male,High,18,Drama,Mobile,Premium,YouTube,20,35,3,5G,Arabic,Multiple Times Per Week
Ghana,Children,Female,High,21,Horror,Tablet,Basic,Disney+,20,51,1,Broadband,Spanish,Never
Peru,Adults,Female,High,21,Sports,Desktop,Premium,TikTok,11,29,1,ADSL,Hindi,2-3 Times Per Week
Italy,Adults,Female,High,23,Romance,Desktop,Standard,Netflix,18,61,2,4G LTE,German,2-3 Times Per Week
Argentina,Adults,Female,High,21,Sports,Desktop,Basic,Amazon Prime Video,9,62,3,4G LTE,Japanese,Monthly
Thailand,Adults,Female,High,21,Horror,Smart TV,Free,Amazon Prime Video,13,52,3,Fiber,Portuguese,2-3 Times Per Week
Nigeria,Adults,Female,High,22,Sports,Mobile,Basic,Netflix,18,51,3,ADSL,Korean,Daily
Vietnam,Children,Male,High,18,Documentary,Mobile,Basic,Disney+,20,50,3,ADSL,Hindi,Multiple Times Per Week
Turkey,Adults,Male,Moderate,22,Romance,Tablet,Standard,Disney+,8,49,3,ADSL,Japanese,Weekly
Morocco,Adults,Female,High,18,Sci-Fi,Smart TV,Standard,Amazon Prime Video,14,56,4,4G LTE,Hindi,Multiple Times Per Week
Thailand,Children,Female,High,18,Drama,Tablet,Basic,Amazon Prime Video,20,54,4,Fiber,Spanish,Multiple Times Per Week
Malaysia,Children,Female,High,23,Documentary,Mobile,Basic,Disney+,18,45,5,Broadband,Portuguese,Multiple Times Per Week
Colombia,Young Adults,Male,High,21,Sports,Smart TV,Free,Instagram,22,34,2,ADSL,German,Weekly
Australia,Children,Male,High,18,Thriller,Tablet,Free,Amazon Prime Video,17,57,3,Fiber,Hindi,Multiple Times Per Week
Pakistan,Young Adults,Female,High,21,Comedy,Smart TV,Free,YouTube,20,30,2,Broadband,English,2-3 Times Per Week
